Reference,DOI,species_name,species_name2,species,sample_label,sample_id,max_diam_mu,total_ind_measured_in_the_sample,lat,long,sample_type,vessel,sampling_date,water_depth,trap_depth
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.7487,resamples_42,239.83,16,-7.59167,61.48333,seafloor,HMS Sealark,09/11/05,-3507,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.7487,resamples_42,234.37,16,-7.59167,61.48333,seafloor,HMS Sealark,09/11/05,-3507,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.7487,resamples_42,226.64,16,-7.59167,61.48333,seafloor,HMS Sealark,09/11/05,-3507,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,440.34,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,466.76,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,337.22,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,458.53,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,446.12,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,383.54,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,333.77,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,431.5,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,337.88,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,386.2,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,503.73,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,512.77,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinella siphonifera,Globigerinella_siphonifera,siphonifera,M.284,resamples_44,621.38,13,-0.7,147,seafloor,HMS Challenger,11/03/1875,-2213,NA
Baranowski 2013 ,,Globigerinita glutinata,Globigerinita_glutinata,glutinata,EAST-10 deep Arabian Sea,109,257.124,1,15.433333,68.716667,sed_trap ,,11/04/94,-3824,-2787
Baranowski 2013 ,,Globigerinita glutinata,Globigerinita_glutinata,glutinata,EAST-10 deep Arabian Sea,110,233.007,1,15.433333,68.716667,sed_trap ,,11/04/94,-3824,-2787
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,212.36,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,214.17,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,224.73,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,215.1,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,204.74,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,207.64,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,321.76,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,301.06,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,271.69,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,245.08,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,281.32,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,222.4,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,277.06,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,242.55,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,249.21,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,245.08,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,242.47,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,258.42,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,258.68,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,302.3,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,314.43,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,210.06,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,271.96,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,254.55,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,255.23,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,287.57,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,241.84,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,259.54,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,368.52,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,270.45,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,310.31,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,349.17,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,224.59,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,309.59,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,195.13,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,194.65,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,244.44,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,213.07,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,203.6,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,185.49,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,184.33,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,208.91,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,220.37,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,202.35,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,259.18,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,221.2,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,210.61,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,213.57,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,215.91,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,205.54,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.5246,resamples_18,241.66,51,-26.93667,111.18167,seafloor,HMS Penguin,16/04/1891,-3350,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,250.72,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,206.47,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,208.18,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,199.53,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,263.09,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,206.89,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,253.83,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,238.63,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,195.37,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,256.41,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,210.79,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,237.69,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,260.74,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,256.15,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,264.31,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,284.76,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,216.58,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.408,resamples_23,218.8,18,-21.25,-14.03333,seafloor,HMS Challenger,21/03/1876,-3740,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,232.79,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,220.18,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,225.65,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,208.44,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,215.31,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,231.2,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,236.86,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,219.45,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,227.76,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,221.68,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,219.69,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,218.28,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,207.61,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,268.91,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,221.7,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,269.59,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,224.08,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,259.46,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,210.65,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,239.47,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,216.59,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,295.13,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,226.95,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.3787,resamples_25,233.85,24,-19.56667,64.63333,seafloor,HMS Egeria,31/10/1887,-2708,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,204.18,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,216.16,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,262.56,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,221.36,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,266.46,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,273.26,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,197.05,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,255.64,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,227.89,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,248.67,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,242.03,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,245.41,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,257.95,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,234.96,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,249.84,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,226.64,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,242.23,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,361.68,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,228.78,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
Rillo et al. 2018,(doi NHM Data Portal),Globigerinita glutinata,Globigerinita_glutinata,glutinata,M.4080,resamples_29,227.04,62,-15.65,-179.0625,seafloor,HMS Egeria,26/08/1889,-2519,NA
